textid	Language	text	target
1678	en	"I've been this girl offering much,
grumbling low and I gave all
All that was asked of me, when order was solved
Envision what's under the lighting
I Never stop long enough to swim against the tide, oh
And I will see I might get too much, to love, to mourn
This new true love song
Chorus:
Permission to be, permission to solve
And you're the only things that matters to me
The freedom to flow, to a genuine flows
And you're the only things that mattered to me
And sure, I had my fun, I play with my roles
With title and break heart wine
But then, after a while, so much done by rode
No longer by inspiration
I've never stopped long enough to see
whose was this blind ambition
And I was not some chanting stop
And realize whose was this shine, so now
Chorus:
Permission to be, permission to solve
And you're the only things that matter to me
The freedom to flow, to a genuine flows
And you're the only things that matter to me
If this way is by the drop,
Here waits, this makes sense
To a bib, with this time
Really we have so now
Chorus:
So now permission to be, permission to fly
And you're the only things that matter to me
The freedom to flow, to a genuine flows
And you're the only things that mattered to me
Oh, oh, oh, oh
The simple things that matter to me
Oh, oh, oh, oh
The simple things that matter to me
Oh, oh, oh, oh
The simple things that matter to me
Oh, oh, oh, oh
The simple things that matter to me"	Rock
1757	en	"Dear head on the wall
Look until
You're too simple
And the softness
Of knowing hurts
And the softness
Of knowing hurts
Dear head on the wall
Afraid
To mention the deaths
That I can't stuff
Into my mouth
That I can't stuff
Into my mouth
All the longing that is
A pity pretty pin
A pity pretty pin
And the sadness will come
When there is no one
Dear head on the wall
Forget what we already know
Hang a picture of your heart
Bandaged in surgeon's bowl
Opened up to it all
A pity pretty pin
A pity pretty pin"	Rock
2790	en	"Standing by his coffin
Thoughts have gone astray
Life is just a burden
Carry yours away
Wipe the tears that fall
Moments recalled in the Child's eyes
Watch the world go by
Flying through the stars
Won't hide the scars
Always
Mourning cries
Wasted in this world
I'd never realized
Smiles in the falling rain
Wash the tears away
Face the angels of death
Soon your time will be over
Your salvation is ahead
That's why I said
There is no pain for the dead
Dying now
Hourglass counts down
Leaving this world
Your destination is
Hiding mourning time
Face up to the world
Another day passes by
Leaving our minutes in vain
Wipe the tears away
(Triumph for the martyrs of the war
Fallen for the causes of the others...
Worth the sacrifice?
Heroes are dying now
Hearing their mothers cry
Heaven is a metaphor
Free your mind and spirit)
Mother Earth, do you part take my
soul, oh no!
Water, wind and fire...
Will take our spirits away
(Victims of Sacrifice)
Face the Angel of Death
(Struggling to survive)
Soon your time will be over
(Revolution remains)
Your salvation is ahead
It's not so sad
There is no pain for the dead
(Victims of Sacrifice)
There'll be no rest till you're dead
(Struggling to survive)
Liberation of soul
It's not so sad
There is no pain for the dead, oh!
...No pain for the dead"	Metal
863	en	"I was going blind
Almost lost my mind
Letting go what we could share
I love you always
Connections like ours are not made to fade
I thought I could find
Someone else to mind
Moving past these routine days
But I love you always
Connections like ours are not made to fade
(x2)
Just the way it is
Just a song now
Just the way it is now
I thought I could find
Someone else to mind
Moving past these routine days
But I love you always
Connections like ours are not made to fade
Just the way it is
Just a song now
Just the way it is now
You were the first
Now I believe
Show me my thirst
You let me lead
You had to grow
I had to go
Maybe if we lived just a night
We know expectation
Shorting out re-life
Was our degradation
Just the way it is now
I, I was going blind
I, I almost lost my mind
I, letting go what we could share
Loving you always
connections like ours are not made to fade away"	Pop
1484	en	"Again and again they blend into one,
my father the morning pushes through moonlight love.
So what's sleep? Sleep.
I'm tired, so tired, but it seems that there's someone here with me.
We are the wakeful, wry, watchful.
We're awaiting.
Deathless ones.
A story at three with the shrillest of cries.
My mind fights with the sparkles in the corner of my eyes.
I hear the morning choir sing to me their elegy.
So beautiful.
They sing to me their elegy
Requiem.."	Pop
206	en	"Put me on a train mama
'cause things just ain’t the same no more
Put me on a train mama
I'm leavin’ today
I don’t want to watch the world spinnin’
I want to be spinning with it
Put me on a train mama
I'm leavin’ today
'Cause I’ve got the feeling that’s for sure
And to know that I can get it makes me want it more
Mama I just want you to know that I’m gonna be fine
Lord I know it’s a chance that I take
But I know you’ll forgive the mistakes that I make
There’s a life out there and it’s gonna be mine
Put me on a train mama
'cause I can’t take this pain no more
Put me on a train mama
I'm leaving today
There’s a world that’s out there waitin’
And I know that it’s a chance I’m takin’
Put me on a train mama
I'm leaving today
'Cause I’ve got the feeling that’s for sure
And to know that I can get it makes me want it more
Mama I just want you to know that I’m gonna be fine
Lord I know it’s a chance that I take
But I know you’ll forgive the mistakes that I make
There’s a life out there and it’s gonna be mine
God knows how long I’ll be gone
But maybe one day this train will bring me home
Put me on a train mama
Ooo put me on a train mama
Put me on a train mama
I'm leaving today
'Cause I’ve got the feeling that’s for sure
And to know that I can get it makes me want it more
Mama I just want you to know that I’m gonna be fine
Lord I know it’s a chance that I take
But I know you’ll forgive the mistakes that I make
There’s a life out there and it’s gonna be mine
Put me on a train mama
I'm leavin’ today"	Metal
502	en	"We welcome you to the second chapter
Thanks for turning the other page
We acknowledge you as the only reason for the progress that we've made
You're our constant reminder
We keep what we've conquered
Everything has gone so far
From where we were before
Well keep this short and sweet so I'll, Get to the point!
My friends come first
That's a part of life
My friends come first
That's a part of life
My friends come first
That's a part of life
My friends come first
That's a part of life
That's a part of life
They've said the futures never getting older
Well the tables do turn
Where will you be?
Pick up your feet!"	Metal
1028	en	"Steel to my trembling lips
How did the night ever get like this?
One shot and the whiskey goes down, down, down
Bottom of the bottle hits
Waking up my mind as I throw a fit
The breakin' is takin' me down, down, down
My heart's beating faster
I know what I'm after
I've been standing here my whole life
Everything I seen twice
Now it's time I realize
It's spinnin' back around now
On this road I'm crawlin'
Save me 'cause I'm fallin'
Now I can't seen to breathe right
'Cause I keep runnin', runnin', runnin', runnin'
Runnin', runnin', runnin', runnin'
Runnin' from my heart
'Round and around I go
Addicted to the numb livin' in the cold
The higher the lower the down, down, down
Sick of bein' tired and sick and ready
For another kind of fix
The damage is damning me down, down, down
My heart's beating faster
I know what I'm after
I've been standing here my whole life
Everything I seen twice
Now it's time I realize
It's spinnin' back around now
On this road I'm crawlin'
Save me 'cause I'm fallin'
Now I can't seen to breathe right
'Cause I keep runnin', runnin', runnin', runnin',
Runnin', runnin', runnin', runnin'
Runnin' from my heart
Oh, I'm coming alive
Oh, I'll wake up now and live
Oh, I'm coming alive
A life that's always been a dream
I'll wake up now and live
I've been standing here my whole life
My heart's beating faster
I know what I'm after
I've been standing here my whole life
Everything I seen twice
Now it's time I realize
It's spinnin' back around now
On this road I'm crawlin'
Save me 'cause I'm fallin'
Now I can't seen to breathe right
'Cause I keep runnin', runnin', runnin', runnin'
Runnin', runnin', runnin', runnin'
Runnin' from my heart
'Cause I keep runnin', runnin', runnin', runnin'
Runnin', runnin', runnin', runnin'
Runnin' from my heart"	Pop
2731	en	"Miseribus Sanctus! Precatoribus Ominus!
Miseribus Sanctus! Precatoribus Ominus!
Miseribus Sanctus! Omine Deo Sabbaoth!
When the world had a tragic fate
We were draining the poisoned sea
Though the scenes were indeed too sad
Only prayers will take the lead
Oh! Just one of us survived
At least a discent woman and a man
Wide awake! Am I alone in this place?
Someone hear me? My only hope!
The acid rain is burning
Right into your eyes
Again your dreams may lose the glow
Allow the sorrow of your thougths to meet sunrise
And shall the hopefull words
Bring love inside your heart
The acid rain is burning your eyes
Miseribus Sanctus! Pecatoribus Ominus!**
So the world knew a tragic fate
We were draining the deadly sea
And the scenes were indeed too sad
Only prayers have taken lead
Oh! Just Some of us survived
At least a discent woman and a man
Wide awake! Am I alone in this place?
Someone hear me? My only hope!
The acid rain is burning
Right into your eyes
Again your dreams may lose the glow
Allow the sorrow of your thougths to meet sunrise
And shall the hopefull words
Bring love inside your heart
The acid rain is burning your eyes! (Miseribus)"	Metal
2454	en	"Say goodbye to the halls and the classes
Say hello to a job and the taxes
The weekends with old friends
Spilling into 9 to 5 routine
Tell me how you feel over and done with
Like your life is a map with no compass to guide
At the bar drinkin' way too much
We sing along to ""Forever Young""
So here we go again
Wishing we could start again
Wendy, run away with me
I know I sound crazy
Don't you see what you do to me?
I want to be your lost boy, your last chance
A better reality
Wendy, we can get away
I promise if you're with me
Say the word and I'll find a way
I can be your lost boy, your last chance
Your ""everything better"" plan
Somewhere in Neverland
(Somewhere in Neverland)
We'll start a life of the plain and the simple
Of great times with far better people
And weekends with our friends
Laughing 'bout the wine that stains their teeth
We'll talk about how your parents separated and
How you don't wanna make the same mistakes as them
I'll say it's all about sticking it out
And trying to feel forever young
So here we go again
Wishing we could start again
Wendy, run away with me
I know I sound crazy
Don't you see what you do to me?
I want to be your lost boy, your last chance
A better reality
Wendy, we can get away
I promise if you're with me
Say the word and I'll find a way
I can be your lost boy, your last chance
Your ""everything better"" plan
Somewhere in Neverland
So here we go again
Wishing we could start again
Wendy, run away with me
I know I sound crazy
Don't you see what you do to me?
I want to be your
Lost boy, your last chance
A better reality
Wendy, we can get away
I promise if you're with me
Say the word and I'll find a way
I can be your lost boy, your last chance
Your ""everything better"" plan
Somewhere in Neverland
Somewhere in Neverland
Somewhere in Neverland"	Rock
3104	en	"As I breathe, my disease brings me to my knees
All you need is a taste it'll set you free
Your infection's my discretion honey, one in the same
Counting second 'til I'm medicated, fucked in the brain
I don't want this baby
I just need it
I got the white line fever
And an appetite for sin
If there's a black hole headed for hell
Then baby count me in
I sold my soul so long ago
A bullet in the chamber with nowhere to go
If there's a black hole headed for hell
Then baby count me in
I sold my soul
Licking every drop of poison
Off a pocket of keys
While some daddy's little angels
Getting down on her knees
When the sun goes down
The filth roam free
You'll never find a finer specimen
Of filth in me
I don't want this
I just need this
To carry on
I got the white line fever
And an appetite for sin
If there's a black hole heading for hell
Then baby count me in
I sold my soul so long ago
A bullet in the chamber with nowhere to go
If there's a black hole heading for hell
Then baby count me in
Some have said that I'm the devil and it's just as well
Cause I've been through and burned down and rebuilt hell
With my heart in a vice
And a knife in my back
I've got a noose for the world, that I'm painting black
I got the white line fever
And an appetite for sin
If there's a black hole heading for hell
Then baby count me in
I sold my soul so long ago
The bullet in the chamber with nowhere to go
If there's a black hole heading for hell
Then baby count me in
I sold my soul"	Metal
3099	en	"This isn't me any more
I need something to believe in
If you think you've seen the last of me
The flat line has come and gone
But won't take me away
I'm tortured
By this dream I've manufactured
War torn
From the inside out but it makes me stronger
I'm not the person you see
When you look into these eyes
I've got a reason
To believe in something more
I know there's something more
I've heard it all before
But I won't sing my last song
'Til I'm flat out on the floor
I've longed for so much more
I wanna be the best that I can be
I'm sick and tired of being admired
I don't deserve this pedestal you've put me on
All I want is to be proud of who I am
I brought this hell upon myself
Now I gotta see it through 'til the end"	Metal
391	en	"Running the ship on an ego
Shutting the mind and closed out
People would ask where did he go
As the boat sunk down
Lie to yourself it's so tragic
You become a wreck in slow mo
Breaking it down 'til you're all alone
I'm in the center of a labyrinth
I feel lost I feel imprisoned
Tell me there's an end
I need some oxygen
How did I get here
Help me make it out of here
I can see it all now clear at last, the fog has lifted
If I only knew
All came in focus at once, it's such a gift
If I knew the truth
As long as I've been here never could I steer clear of myself
Think what I could do
Sun come through
What if I'd kept it together
And never to bounce off the ground
It couldn't have got any better
With anyone around
That's how I got here
That's how it got so clear
I can see it all now clear at last, the fog has lifted
If I only knew
All came in focus at once, it's such a gift
If I knew the truth
As long as I've been here never could I steer clear of myself
Think what I could do
Sun come through
I'm finally home
I see a light house
I don't have to roam
It's not all black out
I can see it all now
Out of nowhere came a clue
Truth I hid the truth I hid from me
Hit the skids I hit the skids only
To find a light to light my way home
Sun come through
I lost it all and all that was left
Beat of my heart, air of my breath
Better late than never
I'm finally home
I see a light house
I don't have to roam
It's not all black out
I can see it all now
Out of nowhere came a clue
Truth I hid the truth I hid from me
Hit the skids I hit the skids only
To find a light to light my way home
Sun come through
Sun come through"	Rock
2695	en	"You're motive and stable
You're like an unwinding cable car
Listening for voices but it's the choices that make us who we are
Go your own way, even seasons have changed
Just burn those new leaves over
So self-absorbed
You'll seem to ignore the prayers that have already gone above
This is the correlation of salvation and love
Don't drop your arms
Don't drop your arms, I've got your heart
With quiet words I'll lead you in
La lalalala, la la la, la lala, la
La lalalala, la la la, la lala, la

Backing away from the problem of pain
You never had a home
You've been misguided, you're hiding in shadows for so very long
Don't you believe that you've been deceived
That you're no better than
The hair in your eyes will never disguise
What you're really thinking of
This is the correlation of salvation and love
Don't drop your arms
Don't drop your arms, I've got your heart
With quiet words I'll lead you in
This is the correlation of salvation and love
Don't drop your arms
Don't drop your arms, I've got your heart
With quiet words I'll lead you in

You're so brilliant, don't soon forget
You're so brilliant, graze much your heart
You're so brilliant, don't soon forget
You're so brilliant, graze much your heart
You're so brilliant (This is the correlation)
Don't soon forget (Between salvation and love, don't drop your arms)
You're so brilliant (I've got your heart)
Graze much your heart (With quiet words I'll lead you in and out of the dark)

La lalalala, la la la, la lala, la (Don't drop your arms)
La lalalala, la la la, la lala, la
This is the correlation of salvation and love
(La lalalala, la la la, la lala, la)
Don't drop your arms
Don't drop your arms, I've got your heart
(La lalalala, la la la)
With quiet words I'll lead you in
(La lala, la)
This is the correlation of salvation and love
(La lalalala, la la la, la lala, la)
Don't drop your arms
Don't drop your arms, I've got your heart
(La lalalala, la la la)
With quiet words I'll lead you in
(La lala, la)"	Rock
2027	en	"I love the dead before they're cold
They're bluing flesh for me to hold
Cadaver eye's upon me see...
Nothing
I love the dead before they rise
No farwells, No goodbyes
I never even knew your now rotting face
While friends and lovers morn your silly grave
I have other uses for you, Darling
I love the dead (X3)
I love the dead (X3)
I love the dead (X3)
I love the dead (X3)
I love the dead (X3)
I love the dead (X3)
I love the dead before they're cold
They're bluing flesh for me to hold
Cadaver eye's upon me see...
Nothing"	Rock
2568	en	"Can you hear the marching
Beating of the drums?
Once again the dogs are out for blood
Words and accusations, history revised
The time has gone to tell that you're alright
Oh how you tried
I know that you tried
To save us
Save us
I remember dreaming not so long ago
The change was gonna come
I still had hope
How long must I keep waiting
Feeling so ignored
Is anything worth saving anymore?
I just don't know
But need you so
Don't let us fall again
We can't fight this on our own
Who'll save us in the end
Have we lost our last hero?
Tyrants overtaking intoxicate with lies
There is no escaping, not this time
The simple man receiving, defending every crime
Somehow still believing they are right
So hypnotized
Don't let us fall again
We can't fight this on our own
Who'll save us in the end
Have we lost our last hero?
Tell me where are the heroes?
No
Tell me where are the heroes?
No, no
Have we lost all our heroes?
No
How could this be, we couldn't see
Now we are left here to fight this on our own
Build them up to tear them down
What we've done I'm far from proud
Chew 'em up
Spit 'em up
In the end
Who'll save us now?
Can you hear the marching, beating of the drums
Once again the dogs are out for blood
Words and accusations, history revised
The time has gone to tell that you're alright
Don't let us fall again
We can't fight this on our own
Who'll save us in the end
Have we lost our last hero?
Have we reached the end?
Are we last to know?
Are we still afraid?
Nowhere left to go
No, it's much too late
There's no hope to see
There is still a chance left
For you and me"	Metal
64	en	"Little Eyes
See through me again
They know all of my sin
As I try to hide it away again
And I know that youæŠ®e there
And I see how much you care
But I throw it all away again
What I really know(chorus)
Say you need me
When IæŠ¦ far away
Something I hold deep inside of me
When IæŠ¦ alone
I pray that you can see
The life that I lead
Each time I try to turn awayLittle Eyes are begging me to stay
But I tell myself itæŠ¯ OKThis time
I hide behind the mask I wear
So blind....I never see you there
And now you are just like meOh Yeah
What I really know
(chorus)
Little Eyes x4
What I really know x4."	Rock
2062	en	"You walk into the room, everybody stares
The talking stops, there's a silence there
The room is yours, you own it now
You're in control and everybody down here knows
You got a place in my heart, I don't want you there
But you come and you go, like a millionaire
You take a walk right across my soul
You're in control and everybody down here knows
You're the life and the death of the party
You got my heart right by the throat
You're the life and the death of the party
When the stage lights rise
You start and stop the show
You love me bad, you love me good
You're unimpressed, that's understood
I lost it all, you knew I would
You're in control and everybody down here knows
You're the life and the death of the party
You got my heart right by the throat
You're the life and the death of the party
When the stage lights rise
You start and stop the show
It's just one night
It's just one time
It's just one hotel room
It's just another dream
That can't come true
You're the life and the death of the party
You got my heart right by the throat
You're the life and the death of the party
When the stage lights rise
You start and stop the show."	Rock
878	en	"I wish that this night would never be over
There's plenty of time to sleep when we die
So let's just stay awake until we grow older
If I had my way we'd never
Close our eyes, our eyes, never!
I don't wanna let a minute get away
Cause we got no time to lose
None of us are promised to see tomorrow
And what we do is ours to choose
Forget about the sunrise
Fight the sleep in your eyes
I don't wanna miss a second with you
Let's stay this way forever
It's only getting better if we want it to
You know that I wish that
This night would never be over
There's plenty of time to sleep when we die
So let's just stay awake until we grow older
If I had my way we'd never
Close our eyes, our eyes, never!
It's so hard to think this could fade away
But what goes up must come down
Why can't we just live
Life with no consequence
And always live in the now
Forget about the sunrise
Fight the sleep in your eyes
I don't wanna miss a second with you
Let's stay this way forever
It only getting better if we want it to
You know that I wish that
This night would never be over
There's plenty of time to sleep when we die
So let's just stay awake until we grow older
If I had my way we'd never
Close our eyes, our eyes, never
You know that I wish that
This night would never be over
There's plenty of time to sleep when we die
So let's just stay awake until we grow older
If I had my way we'd never
Close our eyes, our eyes, never"	Pop
1016	en	"Oh my Ra
Oh my Ra
Oh my Ra
Hieroglyphic
Hieroglyphic
It's eternal
And it's so magnetic
Hypnotize me
Hypnotize me
At your horizon
Take me on a journey
Out for a walk
In the clouds
Used to think
Most don't sing along
Out for a walk
In the clouds
Used to think
Most don't sing along
It's no surprise
On the mile
We'll float on forever
It's no surprise
No denial
We'll live on forever
It's no surprise
Whoa, whoa, whoa, oh oh oh oh
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Hieroglyphic
Hieroglyphic
Take me on a journey
Out for a walk
In the clouds
Used to think
Most don't sing along
Out for a walk
In the clouds
Used to think
Most don't sing along
It's no surprise
On the mile
We'll float on forever
It's no surprise
No denial
We'll live on forever
It's no surprise
Whoa, whoa, whoa, oh oh oh oh
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra
It's made of gold
How much love can one hold
Oh my Ra
Oh my Ra"	Pop
995	en	"So I got my boots on,
Got the right amount of leather
And I'm doing me up with a black colored liner
And I'm working my strut but I know it don't matter
All we need in this world is some love
There's a thin line 'tween the dark side,
And the light side, baby tonight
It's a struggle, gotta rumble, tryin'a find it
[Chorus:]
But if I had you,
That would be the only thing I'd ever need
Yeah if I had you,
The money, fame and fortune never could compete
If I had you,
Life would be a party, it'd be ecstasy
Yeah, if I had you
Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you
If I had you
From New York to La getting high, rock and rolling
Get a room trash it up 'til it's ten in the morning
Girls in stripper heels, boys rolling in Maserati's
What they need in this world is some love
There's a thin line 'tween the wild time,
And a flat-line, baby tonight
It's a struggle gotta rumble, tryin'a find it
[Chorus:]
But if I had you,
That would be the only thing I'd ever need
Yeah if I had you,
The money, fame and fortune never could compete
If I had you,
Life would be a party, it'd be ecstasy
Yeah, if I had you
Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you
If I had-
The flashing of the lights
It might feel so good
But I got you stuck on my mind, yeah
The fashion and the stage, it might get me high
But it don't mean a thing tonight
That would be the only thing I'd ever need
Yeah if I had you,
The money, fame and fortune never could compete
If I had you,
Life would be a party it'd be ecstasy
Yeah if I had you
Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you
If I had you
That would be the only thing I'd ever need
Yeah if I had you,
The money, fame and fortune never could compete
(Never could compete with you)
If I had you, life would be a party, it'd be ecstasy
(It'd be ecstasy with you)
Yeah if I had you
Y-y-y-y-you y-y-y-y-y-you y-y-y-y-y-you
If I had you"	Pop
161	en	"I took a walk around the world
To ease my troubled mind
I left my body laying somewhere
In the sands of time
I watched the world float
To the dark side of the moon
I feel there is nothing I can do, yeah
I watched the world float
To the dark side of the moon
After all I knew it had to be
Something to do with you
I really don't mind what happens now and then
As long as you'll be my friend at the end
If I go crazy then will you still
Call me Superman
If I'm alive and well, will you be
There holding my hand
I'll keep you by my side
With my superhuman might
Kryptonite
You called me strong, you called me weak,
But still your secrets I will keep
You took for granted all the times
I never let you down
You stumbled in and bumped your head,
If not for me then you would be dead
I picked you up and put you back
On solid ground
If I go crazy then will you still
Call me Superman
If I'm alive and well,
Will you be there holding my hand
I'll keep you by my side
With my superhuman might
Kryptonite
If I go crazy then will you still
Call me Superman
If I'm alive and well,
Will you be there holding my hand
I'll keep you by my side
With my superhuman might
Kryptonite
Yeah!!
If I go crazy then will you still
Call me Superman
If I'm alive and well, will you be there
Holding my hand
I'll keep you by my side
With my superhuman might
Kryptonite"	Metal
1021	en	"I got drive so
I'll survive in
Hollywood where
I will thrive
I'll arrive
I'll take a dive
Into the pool
Into the hive
I won't break
I'm what it takes
I'll make my mark
Like an earthquake
Raise the stakes
I'm wide awake
Be in your sight
'Til your head aches
Fascination
Saturation
Stars are just
Like us
Validation
Exploitation
All cause a
Big fuss
Pop, Pop
Goes the camera
Fifteen minutes of fame
Pop, pop
Goes the camera
Fifteen minutes right now
Pop, pop, pop, pop, pop
Look at me
Look at me in a magazine
Pop, pop
Goes the camera
Fifteen minutes of fame
Cross promotion
Cross the ocean
I'll make bank off
Their devotion
Drink the potions
Cause commotions
Got them feeling
Strong emotions
I'll inspire
They'll admire
Won't turn on me
Cause I got fire
Fame expires
I'll retire
But I'll hold on
Down to the wire
Fascination
Saturation
Stars are just
Like us
Validation
Exploitation
All cause a
Big fuss
Pop, pop
Goes the camera
Fifteen minutes of fame
Pop, pop
Goes the camera
Fifteen minutes right now
Pop, pop, pop, pop, pop
Look at me
Look at me in a magazine
Pop, pop
Goes the camera
Fifteen minutes of fame
I've been told
Each flash steals
Your soul
Every celebrity knows
Fame takes it's toll
Fascination
Saturation
Stars are just
Like us
Validation
Exploitation
All cause a
Big fuss
Pop, pop
Goes the camera
Fifteen minutes of fame
Pop, pop
Goes the camera
Fifteen minutes right now
Pop, pop, pop, pop, pop
Look at me
Look at me in a magazine
Pop, pop
Goes the camera
Fifteen minutes of fame"	Pop
3073	en	"Shake your money maker like somebody 'bout to pay ya
I see you on my radar, don't you act like you afraid of shit
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay
Shake your money maker like somebody 'bout to pay ya
Don't worry about them haters, keep your nose up in the air
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay
Shake, shake, shake your money maker
Like you were shakin' it for some paper
Took your momma nine months to make ya
Might as well shake what your momma gave ya
You, you lookin' good in them jeans
I bet you'd look even better with me in between
I keep my mind on my money, money on my mind
But you'se a hell of a distraction when you shake your behind
I got J.O
up on my right side, po'n some cups
My whole hood is to my left and they ain't givin' a fuck
So feel free to get loose and get carried away
So by tomorrow you forgot what you were sayin' today
But don't forget about this feelin' that I'm makin' you get
And all the calories you burn from me makin' you sweat
The 'Mile High' points you earn when we takin' my jet
And how everywhere you turn, I'll be makin' you wet
'Cause you can
Shake your money maker like somebody 'bout to pay ya
I see you on my radar, don't you act like you afraid of shit
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay
Shake your money maker like somebody 'bout to pay ya
Don't worry about them haters, keep your nose up in the air
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay
Switch, switch, switch it from right to left and
Switch it 'til you runnin' right out of breath and
Take a break until you ready again and
You can invite over as many friends
As you want to but I really want you
Just be thankful that Pharrell gave you somethin' to bump to
Hey, Luda, I'm at the top of my game
You want my hands from the bottom to the top of yo' frame
And I just wanna take a little ride on your curves
And get erotic, givin' your body just what it deserves
And let me give you some swimmin' lessons on the penis
Backstroke, breast stroke, stroke of a genius
Yup, call me the renaissance man
Get up and I stay harder than a cinder block, man
Hey, I'm just a bedroom gangster
And I been meanin' to tell ya
That I really must thank ya when ya
Shake your money maker like somebody 'bout to pay ya
I see you on my radar, don't you act like you afraid of shit
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay
Shake your money maker like somebody 'bout to pay ya
Don't worry about them haters, keep your nose up in the air
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay
Release Therapy, rock, rock, rock, rock
Release Therapy, rock, rock, rock, rock
Rock, rock, rock it and make it work, girl
Please don't stop it until it hurt, girl
You, you been lookin' a little tipsy
So if you could, just shake it a little this way
See, I'm a member of the BBC
The original breadwinner of DTP
And you the center of attention that's distractin' the squad
'Cause everybody in the camp is like, ""Oh, my God, she could?
Shake your money maker like somebody 'bout to pay ya
I see you on my radar, don't you act like you afraid of shit
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay
Shake your money maker like somebody 'bout to pay ya
Don't worry about them haters, keep your nose up in the air
You know I got it if you wanna come get it
Stand next to this money like ay, ay, ay"	Metal
1585	en	"I'm having dreams in the night of you baby
And Sigmund Freud would have thought I was crazy
I wonder why you've become an obsession
All I know is that I need to have your big bad love .
Big bad love (3x)
You keep on lovin' and lyin'
You've turning me into a fool babe
But I'm not screamin' or cryin'
There's better things we have to do baby
It takes a lot for me to truly believe
That you could love me unconditionally
And I'm terrified of taking a chance
If you're not ready to believe in romance
Who...I wonder why I am so unrelentless
There's nothing that I can do to prevent this
And the dream I am not apprehensive
All I know is that I need to have your...
Chorus:
Big bad love
I need a love with an attitude
Big bad love
The only kind that I want from you
Big bad love
I need it from you so urgently
Big bad love...need it baby yeah yeah yeah
I'm not avoidin' your lovin'
'Cause I can afford to be blue babe
I keep on pushin' and shovin'
I can't get enough out of you baby
I don't believe your blood is bad to the bone
'Cause then you're different when we're here all alone
And if you knew the game I wanted to play
Now would you say the words I want you to say ...who
I'm am so relentless...I can't prevent this..
I am
not apprehensive
All I know is that I need to have your big bad love
(Ad-lib)"	Rock
775	en	"Ahh-ahh-ahh-ahh-ahh-ahh (x7)
Ahh-ahh-ahh-ahh-ahh-ahh
Thunder (x7)
Thunder (x3)
I was caught
In the middle of a railroad track (Thunder)
I looked round
And I knew there was no turning back (Thunder)
My mind raced
And I thought what could I do? (Thunder)
And I knew
There was no help, no help from you (Thunder)
Sound of the drums
Beatin' in my heart
The thunder of guns
Tore me apart
You've been - thunderstruck
Went down the highway
Broke the limit, we hit the town
Went through to Texas, yeah Texas
And we had some fun
We met some girls
Some dancers who gave a good time
Broke all the rules, played all the fools
Yeah, yeah, they, they, they blew our minds
Now the shakin' at the knees
Could I come again please?
Yeah the ladies were too kind
You've been - thunderstruck, thunderstruck
Yeah yeah yeah, thunderstruck
Oh, thunderstruck
Yeah
Now we're shaking at the knees
Could I come again please?
Thunderstruck, thunderstruck
Yeah yeah yeah, thunderstruck
Thunderstruck, yeah, yeah, yeah
Said yeah, it's alright
We're doing fine
Yeah, it's alright
We're doing fine
So fine
Thunderstruck, yeah, yeah, yeah,
Thunderstruck, thunderstruck, thunderstruck
Whoa baby, thunder, thunderstruck
You've been thunderstruck, thunderstruck
Thunderstruck, thunderstruck
You've been thunderstruck"	Rock
